Customer ID,Age,Gender,Location,Longitude,Latitude
180,57,Female,Quebec,46.8131,-71.2075
59,44,Male,Alberta,53.9333,-116.5765
450,34,Female,Yukon,64.2823,-135
489,59,Male,Newfoundland and Labrador,54.2731,-61.7388
143,45,Other,Alberta,53.9333,-116.5765
216,32,Male,British Columbia,53.7267,-127.6476
85,46,Male,Nunavut,64.248,-84.8896
483,37,Female,Saskatchewan,52.9399,-106.4509
237,42,Male,Nunavut,64.248,-84.8896
141,20,Male,Ontario,51.2538,-85.3232
120,66,Male,Ontario,51.2538,-85.3232
308,46,Female,Manitoba,53.7609,-98.8139
3,55,Female,Newfoundland and Labrador,54.2731,-61.7388
39,64,Other,Manitoba,53.7609,-98.8139
265,31,Male,Northwest Territories,63.5888,-115.5069
216,55,Male,Manitoba,53.7609,-98.8139
54,32,Male,British Columbia,53.7267,-127.6476
259,29,Female,Newfoundland and Labrador,54.2731,-61.7388
192,25,Male,Prince Edward Island,46.3188,-63.1461
157,28,Other,Nunavut,64.248,-84.8896
304,34,Male,Ontario,51.2538,-85.3232
232,40,Other,Prince Edward Island,46.3188,-63.1461
326,24,Other,Alberta,53.9333,-116.5765
225,25,Female,British Columbia,53.7267,-127.6476
208,29,Male,British Columbia,53.7267,-127.6476
92,31,Female,Quebec,46.8131,-71.2075
192,69,Female,Quebec,46.8131,-71.2075
23,69,Male,New Brunswick,46.5653,-66.4619
417,29,Other,Manitoba,53.7609,-98.8139
223,58,Other,British Columbia,53.7267,-127.6476
75,63,Male,Ontario,51.2538,-85.3232
427,33,Female,Manitoba,53.7609,-98.8139
418,55,Female,Nova Scotia,45.0778,-63.5467
365,32,Other,Saskatchewan,52.9399,-106.4509
201,30,Female,Nunavut,64.248,-84.8896
221,19,Female,New Brunswick,46.5653,-66.4619
108,21,Female,Yukon,64.2823,-135
293,49,Male,Prince Edward Island,46.3188,-63.1461
487,38,Male,Newfoundland and Labrador,54.2731,-61.7388
418,49,Male,Northwest Territories,63.5888,-115.5069
