Transaction ID,Date,Customer ID,Store ID,Product ID,Quantity,Promotion Applied,Gift Wrap,Shipping Method,Payment Type,Delivery Time,Weather during transaction,Event,Return Flag,Customer Satisfaction,Unit Price,Total Price,Discount Amount
299,31/12/2023,180,99,598,4,FALSE,TRUE,Express,Online Payment,1,Rainy,None,FALSE,4,68.06,272.24,0
494,31/12/2023,59,66,557,2,FALSE,TRUE,Express,Credit Card,3,Rainy,Christmas Market,TRUE,4,96.32,192.65,0
1452,31/12/2023,450,65,736,4,FALSE,TRUE,Express,Cash,3,Sunny,Christmas Market,TRUE,2,96.98,387.92,0
2103,31/12/2023,489,69,671,5,FALSE,TRUE,Express,Online Payment,5,Rainy,Black Friday,TRUE,4,65.05,325.23,32.52
2257,31/12/2023,143,95,934,3,FALSE,TRUE,Express,Cash,1,Sunny,None,TRUE,5,86.5,259.49,0
2391,31/12/2023,216,80,227,2,FALSE,FALSE,Overnight,Debit Card,4,Sunny,Christmas Market,FALSE,1,33.92,67.83,0
2557,31/12/2023,85,77,382,2,FALSE,FALSE,Express,Online Payment,3,Sunny,Christmas Market,TRUE,4,58.05,116.09,0
3281,31/12/2023,483,61,549,3,FALSE,FALSE,Express,Credit Card,2,Sunny,None,TRUE,5,73.6,220.8,0
3397,31/12/2023,237,95,331,2,TRUE,FALSE,Express,Debit Card,4,Snowy,None,TRUE,4,55.23,110.45,0
3462,31/12/2023,141,17,276,4,TRUE,TRUE,Overnight,Cash,5,Snowy,Black Friday,FALSE,1,19.52,78.09,7.81
4048,31/12/2023,120,16,563,4,FALSE,TRUE,Overnight,Online Payment,1,Rainy,Black Friday,TRUE,3,36.98,147.92,14.79
4239,31/12/2023,308,82,807,2,TRUE,TRUE,Overnight,Debit Card,2,Sunny,Black Friday,FALSE,4,76.49,152.97,15.3
4863,31/12/2023,3,26,103,5,TRUE,TRUE,Standard,Cash,3,Sunny,None,FALSE,5,37.31,186.57,0
5504,31/12/2023,39,81,677,5,TRUE,TRUE,Overnight,Credit Card,2,Rainy,Black Friday,FALSE,3,31.92,159.58,15.96
5647,31/12/2023,265,85,129,4,FALSE,TRUE,Standard,Credit Card,1,Sunny,None,TRUE,1,25.14,100.55,0
5671,31/12/2023,216,8,376,5,FALSE,TRUE,Standard,Debit Card,3,Snowy,Black Friday,FALSE,2,24.51,122.57,12.26
5910,31/12/2023,54,59,601,1,TRUE,TRUE,Express,Debit Card,5,Snowy,None,TRUE,3,25.54,25.54,0
6026,31/12/2023,259,49,441,5,FALSE,FALSE,Standard,Cash,5,Rainy,Christmas Market,FALSE,2,57.93,289.67,0
6078,31/12/2023,192,49,198,4,FALSE,TRUE,Standard,Cash,1,Rainy,None,FALSE,1,68.16,272.64,0
6085,31/12/2023,157,83,674,5,TRUE,TRUE,Express,Credit Card,3,Sunny,Black Friday,TRUE,1,73.04,365.18,36.52
6131,31/12/2023,304,20,515,3,FALSE,FALSE,Standard,Credit Card,3,Snowy,Christmas Market,FALSE,3,44.41,133.23,0
6625,31/12/2023,232,49,432,5,FALSE,TRUE,Standard,Online Payment,2,Snowy,None,TRUE,1,41.21,206.05,0
6750,31/12/2023,326,86,445,4,TRUE,FALSE,Standard,Debit Card,3,Rainy,Black Friday,FALSE,5,49.48,197.9,19.79
7002,31/12/2023,225,63,633,1,FALSE,TRUE,Express,Credit Card,2,Rainy,Black Friday,TRUE,2,54.65,54.65,5.47
7093,31/12/2023,208,31,569,4,FALSE,TRUE,Standard,Credit Card,2,Snowy,None,FALSE,1,60.56,242.25,0
7126,31/12/2023,92,88,726,4,FALSE,FALSE,Express,Online Payment,5,Snowy,Black Friday,FALSE,5,51.22,204.88,20.49
7789,31/12/2023,192,51,14,1,TRUE,FALSE,Overnight,Cash,1,Rainy,Black Friday,FALSE,2,93.3,93.3,9.33
7880,31/12/2023,23,16,417,3,FALSE,TRUE,Express,Online Payment,1,Snowy,Christmas Market,TRUE,1,18.59,55.76,0
8443,31/12/2023,417,77,329,4,FALSE,FALSE,Standard,Debit Card,3,Rainy,Christmas Market,FALSE,3,20.76,83.05,0
8812,31/12/2023,223,83,410,4,TRUE,TRUE,Standard,Cash,2,Sunny,Christmas Market,TRUE,4,85.18,340.72,0
9793,31/12/2023,75,86,958,5,FALSE,FALSE,Standard,Online Payment,3,Snowy,Black Friday,TRUE,2,14,69.98,7
9847,31/12/2023,427,38,24,4,TRUE,FALSE,Overnight,Debit Card,3,Rainy,None,TRUE,4,36.61,146.42,0
207,31/12/2022,418,53,190,5,TRUE,TRUE,Express,Debit Card,4,Sunny,Christmas Market,TRUE,2,96.21,481.07,0
1008,31/12/2022,365,94,121,4,TRUE,TRUE,Express,Cash,1,Rainy,Black Friday,FALSE,3,12.21,48.85,4.88
1284,31/12/2022,201,60,256,1,FALSE,FALSE,Standard,Online Payment,4,Sunny,None,FALSE,5,52.87,52.87,0
1348,31/12/2022,221,77,97,5,TRUE,TRUE,Standard,Credit Card,1,Snowy,None,FALSE,2,54.83,274.15,0
2225,31/12/2022,108,19,840,2,FALSE,FALSE,Overnight,Credit Card,1,Rainy,None,FALSE,5,54.18,108.36,0
2254,31/12/2022,293,55,191,1,TRUE,FALSE,Express,Online Payment,4,Snowy,Black Friday,TRUE,1,78.19,78.19,7.82
3464,31/12/2022,487,60,606,5,TRUE,TRUE,Overnight,Debit Card,2,Rainy,Black Friday,TRUE,4,41.44,207.19,20.72
3719,31/12/2022,418,98,272,3,TRUE,FALSE,Standard,Credit Card,1,Sunny,Black Friday,FALSE,5,55.54,166.63,16.66
3880,31/12/2022,111,55,642,3,FALSE,FALSE,Standard,Debit Card,5,Snowy,Christmas Market,TRUE,5,19.25,57.76,0
4005,31/12/2022,223,90,179,4,FALSE,TRUE,Express,Cash,5,Sunny,Christmas Market,TRUE,4,61.07,244.29,0
4267,31/12/2022,176,18,447,5,TRUE,TRUE,Standard,Debit Card,2,Sunny,Black Friday,TRUE,3,40.54,202.72,20.27
4391,31/12/2022,22,71,454,2,TRUE,TRUE,Express,Credit Card,5,Snowy,Black Friday,FALSE,2,75.1,150.21,15.02
4507,31/12/2022,102,52,355,5,TRUE,TRUE,Express,Cash,5,Sunny,Christmas Market,TRUE,1,52.89,264.46,0
4997,31/12/2022,243,31,247,1,TRUE,TRUE,Overnight,Cash,1,Sunny,Christmas Market,TRUE,5,73.57,73.57,0
5283,31/12/2022,389,95,685,4,FALSE,FALSE,Overnight,Online Payment,3,Sunny,Black Friday,FALSE,5,63.01,252.04,25.2
6063,31/12/2022,137,6,268,3,FALSE,FALSE,Overnight,Debit Card,3,Sunny,None,FALSE,3,88.42,265.25,0
6320,31/12/2022,223,95,399,1,FALSE,FALSE,Overnight,Debit Card,3,Rainy,Christmas Market,TRUE,2,85.6,85.6,0
6805,31/12/2022,89,23,423,1,TRUE,TRUE,Standard,Online Payment,5,Rainy,Black Friday,FALSE,4,87.54,87.54,8.75
6970,31/12/2022,47,53,814,3,FALSE,FALSE,Overnight,Cash,1,Rainy,Christmas Market,FALSE,4,53.39,160.18,0
7156,31/12/2022,218,86,251,5,FALSE,TRUE,Overnight,Debit Card,2,Sunny,Black Friday,FALSE,3,21.3,106.48,10.65
7888,31/12/2022,311,2,577,1,FALSE,TRUE,Standard,Credit Card,2,Sunny,Christmas Market,TRUE,3,18.84,18.84,0
8306,31/12/2022,404,85,844,3,TRUE,FALSE,Express,Cash,2,Rainy,Christmas Market,TRUE,2,46.23,138.69,0
8403,31/12/2022,287,47,119,3,TRUE,FALSE,Standard,Online Payment,5,Rainy,None,TRUE,4,98.48,295.45,0
8855,31/12/2022,144,20,693,3,FALSE,FALSE,Overnight,Cash,3,Snowy,Black Friday,FALSE,4,51.44,154.32,15.43
8956,31/12/2022,285,71,126,5,TRUE,FALSE,Standard,Cash,2,Sunny,Christmas Market,FALSE,5,55.69,278.46,0
9049,31/12/2022,170,39,764,5,TRUE,FALSE,Express,Cash,3,Sunny,None,TRUE,2,96.92,484.61,0
9120,31/12/2022,226,8,135,2,TRUE,FALSE,Express,Cash,4,Sunny,None,FALSE,5,59.75,119.51,0
9644,31/12/2022,479,18,981,3,FALSE,TRUE,Standard,Debit Card,2,Snowy,Black Friday,FALSE,5,11.91,35.73,3.57
9993,31/12/2022,480,56,539,5,TRUE,TRUE,Standard,Cash,4,Sunny,Black Friday,TRUE,3,99.67,498.33,49.83
1093,31/12/2021,49,22,706,2,FALSE,TRUE,Express,Cash,3,Snowy,Black Friday,TRUE,3,97.28,194.56,19.46
2144,31/12/2021,435,48,18,5,FALSE,TRUE,Overnight,Online Payment,2,Sunny,None,TRUE,5,71.86,359.28,0
2449,31/12/2021,374,88,625,5,TRUE,TRUE,Express,Cash,5,Sunny,None,FALSE,5,25.05,125.23,0
2735,31/12/2021,72,43,205,4,TRUE,FALSE,Overnight,Cash,2,Snowy,Christmas Market,FALSE,4,77.81,311.24,0
3426,31/12/2021,311,24,920,1,TRUE,TRUE,Express,Credit Card,1,Sunny,Black Friday,TRUE,4,53.65,53.65,5.37
3824,31/12/2021,139,42,524,1,FALSE,FALSE,Standard,Credit Card,1,Sunny,Christmas Market,TRUE,2,76.01,76.01,0
3944,31/12/2021,297,63,848,5,TRUE,FALSE,Overnight,Debit Card,4,Sunny,Christmas Market,TRUE,4,36.64,183.2,0
3946,31/12/2021,132,32,553,3,TRUE,TRUE,Overnight,Debit Card,2,Rainy,None,FALSE,5,96.5,289.51,0
4145,31/12/2021,168,28,513,5,FALSE,TRUE,Express,Debit Card,3,Sunny,None,FALSE,3,65.33,326.63,0
5108,31/12/2021,41,53,681,2,TRUE,TRUE,Express,Credit Card,5,Rainy,Black Friday,TRUE,3,29.01,58.01,5.8
5373,31/12/2021,406,22,677,4,FALSE,TRUE,Overnight,Cash,5,Sunny,None,TRUE,1,42.12,168.47,0
6256,31/12/2021,82,64,310,1,FALSE,TRUE,Standard,Online Payment,4,Snowy,Christmas Market,FALSE,4,66.28,66.28,0
6706,31/12/2021,369,82,79,4,TRUE,TRUE,Standard,Online Payment,4,Sunny,None,FALSE,5,21.99,87.95,0
7452,31/12/2021,345,10,776,3,TRUE,FALSE,Express,Debit Card,1,Sunny,None,FALSE,2,86.73,260.2,0
8268,31/12/2021,284,93,297,2,FALSE,TRUE,Overnight,Cash,5,Snowy,Black Friday,FALSE,1,30.33,60.66,6.07
