Transaction ID,Promotion Applied,Gift Wrap,Shipping Method,Payment Type,Weather during transaction,Event,Return Flag,Customer Satisfaction
299,FALSE,TRUE,Express,Online Payment,Rainy,None,FALSE,4
494,FALSE,TRUE,Express,Credit Card,Rainy,Christmas Market,TRUE,4
1452,FALSE,TRUE,Express,Cash,Sunny,Christmas Market,TRUE,2
2103,FALSE,TRUE,Express,Online Payment,Rainy,Black Friday,TRUE,4
2257,FALSE,TRUE,Express,Cash,Sunny,None,TRUE,5
2391,FALSE,FALSE,Overnight,Debit Card,Sunny,Christmas Market,FALSE,1
2557,FALSE,FALSE,Express,Online Payment,Sunny,Christmas Market,TRUE,4
3281,FALSE,FALSE,Express,Credit Card,Sunny,None,TRUE,5
3397,TRUE,FALSE,Express,Debit Card,Snowy,None,TRUE,4
3462,TRUE,TRUE,Overnight,Cash,Snowy,Black Friday,FALSE,1
4048,FALSE,TRUE,Overnight,Online Payment,Rainy,Black Friday,TRUE,3
4239,TRUE,TRUE,Overnight,Debit Card,Sunny,Black Friday,FALSE,4
4863,TRUE,TRUE,Standard,Cash,Sunny,None,FALSE,5
5504,TRUE,TRUE,Overnight,Credit Card,Rainy,Black Friday,FALSE,3
5647,FALSE,TRUE,Standard,Credit Card,Sunny,None,TRUE,1
5671,FALSE,TRUE,Standard,Debit Card,Snowy,Black Friday,FALSE,2
5910,TRUE,TRUE,Express,Debit Card,Snowy,None,TRUE,3
6026,FALSE,FALSE,Standard,Cash,Rainy,Christmas Market,FALSE,2
6078,FALSE,TRUE,Standard,Cash,Rainy,None,FALSE,1
6085,TRUE,TRUE,Express,Credit Card,Sunny,Black Friday,TRUE,1
6131,FALSE,FALSE,Standard,Credit Card,Snowy,Christmas Market,FALSE,3
6625,FALSE,TRUE,Standard,Online Payment,Snowy,None,TRUE,1
6750,TRUE,FALSE,Standard,Debit Card,Rainy,Black Friday,FALSE,5
7002,FALSE,TRUE,Express,Credit Card,Rainy,Black Friday,TRUE,2
7093,FALSE,TRUE,Standard,Credit Card,Snowy,None,FALSE,1
7126,FALSE,FALSE,Express,Online Payment,Snowy,Black Friday,FALSE,5
7789,TRUE,FALSE,Overnight,Cash,Rainy,Black Friday,FALSE,2
7880,FALSE,TRUE,Express,Online Payment,Snowy,Christmas Market,TRUE,1
8443,FALSE,FALSE,Standard,Debit Card,Rainy,Christmas Market,FALSE,3
8812,TRUE,TRUE,Standard,Cash,Sunny,Christmas Market,TRUE,4
9793,FALSE,FALSE,Standard,Online Payment,Snowy,Black Friday,TRUE,2
9847,TRUE,FALSE,Overnight,Debit Card,Rainy,None,TRUE,4
